,index,src,to,to_hierarchy,src_hierarchy,clocent,weights,clo_rank,weight_rank,optimal
0,0,resp10,resp3,TL,E,0.7537642814009211,0.5236363636363636,3.0,2.0,False
1,2,resp1004,resp1416,MM,TL,0.7025127795428411,0.075,2.0,2.0,True
2,3,resp1005,resp11,MM,TL,0.7205441762056561,0.4173913043478261,11.0,6.0,False
3,4,resp1008,resp3210,MM,TL,0.7397830051279822,0.5454545454545454,2.0,2.0,True
4,6,resp1013,resp553,TL,E,0.7258941231445769,0.4114285714285714,3.0,1.0,False
5,7,resp1016,resp5731,TL,E,0.7739064174319357,0.19636363636363635,10.0,7.0,False
6,8,resp1018,resp828,TL,E,0.819646573709977,0.504,5.0,1.0,False
7,9,resp1019,resp4654,TL,E,0.7914306598892348,0.54,5.0,1.0,False
8,10,resp1020,resp2159,MM,TL,0.6646205387753121,0.24,3.0,3.0,True
9,11,resp1022,resp1376,TM,MM,0.8098869480052286,0.4363636363636363,5.0,1.0,False
10,14,resp1028,resp420,TL,E,0.6729221713548219,0.36,1.0,1.0,True
11,15,resp1028,resp4598,TL,E,0.6729221713548219,0.3,1.0,1.0,True
12,17,resp1033,resp1429,TL,E,0.7973980555346515,0.20571428571428574,1.0,1.0,True
13,18,resp1035,resp6257,TL,E,0.7463172385551735,0.19285714285714284,3.0,4.0,False
14,20,resp1038,resp1545,TM,TM,0.005228730461812483,0.12,4.0,3.0,False
15,22,resp1042,resp2681,TL,E,0.7492834839283291,0.525,2.0,2.0,True
16,23,resp1043,resp1841,MM,TL,0.7869965211149526,0.08307692307692308,1.0,5.0,False
17,25,resp1043,resp3752,MM,TL,0.7869965211149526,0.8307692307692308,3.0,1.0,False
18,30,resp105,resp5663,MM,TL,0.7232997665561047,0.22,1.0,1.0,True
19,31,resp1053,resp4771,TL,E,0.7381839064949037,0.225,8.0,3.0,False
20,32,resp1054,resp213,TL,E,0.7293162407735287,0.1,6.0,6.0,True
21,33,resp1056,resp3545,TL,E,0.8154143010342932,0.6499999999999999,10.0,2.0,False
22,35,resp1060,resp6113,TL,E,0.8239726464072499,0.2475,3.0,5.0,False
23,36,resp1062,resp2954,TL,E,0.7929817857244509,0.16363636363636366,7.0,13.0,False
24,37,resp1067,resp5944,MM,TL,0.7835242974822346,0.3,3.0,4.0,False
25,38,resp1069,resp4372,MM,TL,0.6636609308072077,0.15428571428571428,5.0,4.0,False
26,39,resp1070,resp3328,MM,TL,0.7527604623266821,0.036000000000000004,1.0,2.0,False
27,40,resp1073,resp3448,TL,E,0.8330171677825913,0.4615384615384615,1.0,3.0,False
28,42,resp1078,resp1908,TL,E,0.7586833207269199,0.06666666666666668,7.0,7.0,True
29,43,resp1085,resp3448,TL,E,0.7804570496226184,0.64,11.0,1.0,False
30,44,resp1091,resp3434,TL,E,0.7361412421902439,0.08571428571428573,2.0,3.0,False
31,45,resp1091,resp5047,TL,E,0.7361412421902439,0.08571428571428573,1.0,5.0,False
32,46,resp1096,resp3989,TM,MM,0.696233088159439,0.12,11.0,3.0,False
33,48,resp11,resp1376,TM,MM,0.7915070896970463,0.065,9.0,10.0,False
34,49,resp110,resp3781,TL,E,0.7201583486860158,0.12,5.0,4.0,False
35,50,resp1101,resp4935,TL,E,0.8576989168749642,0.6,4.0,2.0,False
36,51,resp1104,resp5153,MM,TL,0.8840530594124599,0.792,1.0,1.0,True
37,52,resp1105,resp5351,TL,E,0.7106062561372408,0.15428571428571428,2.0,2.0,True
38,53,resp1111,resp4914,TL,E,0.7312263094735091,0.36,5.0,2.0,False
39,54,resp1116,resp4771,TL,E,0.7843490993648419,0.192,4.0,5.0,False
40,55,resp112,resp3193,TL,E,0.0026143652309062416,0.24,3.0,2.0,False
41,57,resp1123,resp5267,TL,E,0.7852884846040927,0.162,7.0,9.0,False
42,59,resp1127,resp35,MM,TL,0.7237135464735467,0.54,2.0,1.0,False
43,60,resp1128,resp235,TL,E,0.7438481759158643,0.18,4.0,2.0,False
44,61,resp1129,resp1311,MM,TL,0.7196799410590562,0.162,3.0,3.0,True
45,62,resp1129,resp3892,MM,TL,0.7196799410590562,0.43200000000000005,2.0,2.0,True
46,63,resp1130,resp5351,TL,E,0.6995823958664154,0.21600000000000005,3.0,1.0,False
47,64,resp1133,resp1138,TL,E,0.9252716091457345,0.15,1.0,2.0,False
