src,dst,final_weights
resp10,resp1210,0.19636363636363635
resp10,resp3,0.5236363636363636
resp10,resp4148,0.04363636363636364
resp10,resp6220,0.04363636363636364
resp1002,resp2865,0.18
resp1002,resp4088,0.18
resp1004,resp1416,0.075
resp1004,resp2616,0.3
resp1004,resp2926,0.3
resp1004,resp3064,0.19999999999999998
resp1004,resp4195,0.3
resp1005,resp11,0.41739130434782606
resp1005,resp358,0.041739130434782605
resp1005,resp3823,0.41739130434782606
resp1005,resp3860,0.041739130434782605
resp1005,resp3916,0.33391304347826084
resp1005,resp417,0.041739130434782605
resp1005,resp5361,0.041739130434782605
resp1005,resp6254,0.41739130434782606
resp1006,resp2567,0.06
resp1006,resp3125,0.06
resp1006,resp3488,0.6
resp1006,resp5144,0.18
resp1006,resp5292,0.06
resp1008,resp2577,0.05454545454545454
resp1008,resp3210,0.5454545454545454
resp1008,resp3251,0.24545454545454545
resp1008,resp4484,0.05454545454545454
resp1008,resp5955,0.05454545454545454
resp1012,resp2258,0.12
resp1012,resp5208,0.12
resp1013,resp2290,0.03428571428571429
resp1013,resp286,0.15428571428571428
resp1013,resp5220,0.15428571428571428
resp1013,resp553,0.4114285714285714
resp1013,resp6093,0.34285714285714286
resp1013,resp6220,0.15428571428571428
resp1016,resp247,0.13090909090909092
resp1016,resp5720,0.43636363636363634
resp1016,resp5731,0.19636363636363635
resp1016,resp719,0.04363636363636364
resp1018,resp2558,0.042
resp1018,resp2638,0.042
resp1018,resp3606,0.42000000000000004
resp1018,resp4018,0.189
resp1018,resp4247,0.042
resp1018,resp668,0.189
resp1018,resp828,0.504
resp1019,resp1997,0.045
resp1019,resp4654,0.54
resp1019,resp6229,0.045
resp1020,resp2159,0.24
resp1022,resp11,0.43636363636363634
resp1022,resp1376,0.43636363636363634
resp1022,resp2143,0.04363636363636364
resp1022,resp2161,0.04363636363636364
resp1022,resp2915,0.19636363636363635
resp1022,resp3414,0.13090909090909092
resp1022,resp6196,0.13090909090909092
resp1022,resp96,0.19636363636363635
resp1028,resp1820,0.135
resp1028,resp3366,0.03
resp1028,resp3567,0.135
resp1028,resp3840,0.36
resp1028,resp420,0.36
resp1028,resp4598,0.3
resp1029,resp1024,0.08
resp1029,resp1580,0.08
resp1029,resp3989,0.08
resp1029,resp434,0.08
resp1029,resp4410,0.08
resp1029,resp4774,0.64
resp1029,resp5244,0.08
resp1029,resp5771,0.24
resp1033,resp1429,0.20571428571428574
resp1033,resp301,0.20571428571428574
resp1033,resp3781,0.06857142857142857
resp1033,resp85,0.20571428571428574
resp1035,resp1063,0.19285714285714284
resp1035,resp2959,0.34285714285714286
resp1035,resp4020,0.12857142857142856
resp1035,resp6074,0.12857142857142856
resp1035,resp6257,0.19285714285714284
resp1038,resp1545,0.12
resp1038,resp2249,0.12
resp1039,resp1163,0.36
resp1039,resp51,0.08
resp1039,resp545,0.08
resp1039,resp5560,0.08
resp1042,resp1038,0.052500000000000005
resp1042,resp1257,0.42000000000000004
resp1042,resp1841,0.15750000000000003
resp1042,resp2681,0.525
resp1042,resp3613,0.052500000000000005
resp1042,resp4172,0.052500000000000005
resp1042,resp4717,0.15750000000000003
resp1043,resp1545,0.08307692307692308
resp1043,resp1841,0.08307692307692308
resp1043,resp2055,0.08307692307692308
resp1043,resp2249,0.08307692307692308
resp1043,resp2979,0.08307692307692308
resp1043,resp3458,0.08307692307692308
resp1043,resp3752,0.8307692307692308
resp1043,resp5871,0.08307692307692308
resp1043,resp742,0.08307692307692308
resp1048,resp1376,0.195
resp1048,resp2435,0.065
resp1048,resp2441,0.2925
resp1048,resp2481,0.065
resp1048,resp3316,0.065
resp1048,resp3773,0.065
resp1048,resp3982,0.065
resp1048,resp4743,0.065
resp1048,resp4928,0.6499999999999999
resp1048,resp5289,0.52
resp1048,resp5577,0.065
resp1048,resp6117,0.195
resp1048,resp854,0.065
resp1049,resp1282,0.05052631578947368
resp1049,resp1934,0.40421052631578946
resp1049,resp318,0.22736842105263155
resp1049,resp4470,0.05052631578947368
resp1049,resp4699,0.40421052631578946
resp1049,resp5790,0.22736842105263155
resp1049,resp6133,0.05052631578947368
resp1049,resp6216,0.15157894736842104
resp105,resp1025,0.21999999999999997
resp105,resp1164,0.07333333333333332
resp105,resp2249,0.07333333333333332
resp105,resp2351,0.21999999999999997
resp105,resp3031,0.07333333333333332
resp105,resp3447,0.07333333333333332
resp105,resp3458,0.07333333333333332
resp105,resp3738,0.33
resp105,resp5551,0.21999999999999997
resp105,resp5570,0.21999999999999997
resp105,resp5663,0.21999999999999997
resp1053,resp1368,0.075
resp1053,resp1719,0.075
resp1053,resp2106,0.075
resp1053,resp2339,0.075
