source,to,score
resp2,resp4261,5.0
resp3,resp1210,5.0
resp5,resp494,5.0
resp10,resp3,5.0
resp10,resp1210,5.0
resp11,resp1376,5.0
resp11,resp96,5.0
resp11,resp5488,5.0
resp11,resp5545,4.0
resp16,resp1601,5.0
resp16,resp1043,3.0
resp17,resp6148,5.0
resp17,resp4935,5.0
resp17,resp490,5.0
resp17,resp2300,5.0
resp19,resp4169,2.0
resp19,resp2983,5.0
resp19,resp4571,4.0
resp19,resp2152,4.0
resp21,resp1224,4.0
resp21,resp1161,4.0
resp21,resp617,5.0
resp21,resp3233,3.0
resp27,resp4298,5.0
resp27,resp3221,5.0
resp28,resp3221,5.0
resp28,resp4298,5.0
resp29,resp2128,4.0
resp29,resp5586,4.0
resp35,resp1071,5.0
resp35,resp96,4.0
resp35,resp2804,4.0
resp35,resp3365,5.0
resp38,resp2373,5.0
resp40,resp2954,5.0
resp40,resp1606,4.0
resp40,resp1829,4.0
resp40,resp3458,5.0
resp43,resp2832,4.0
resp43,resp4799,4.0
resp44,resp3414,5.0
resp48,resp1346,5.0
resp48,resp4263,4.0
resp48,resp5659,4.0
resp48,resp750,4.0
resp50,resp1796,5.0
resp51,resp1164,5.0
resp52,resp6026,3.0
resp53,resp6078,5.0
resp57,resp5193,5.0
resp57,resp4417,4.0
resp58,resp213,4.0
resp58,resp5839,4.0
resp59,resp3365,4.0
resp59,resp1071,4.0
resp59,resp634,4.0
resp59,resp2859,5.0
resp60,resp1559,3.0
resp61,resp3613,4.0
resp65,resp5203,4.0
resp65,resp4190,5.0
resp65,resp193,5.0
resp65,resp6075,5.0
resp67,resp2249,5.0
resp67,resp3989,5.0
resp67,resp2983,5.0
resp67,resp4326,5.0
resp70,resp1944,4.0
resp71,resp1332,5.0
resp71,resp947,5.0
resp71,resp4576,5.0
resp73,resp5944,
resp75,resp3315,5.0
resp75,resp514,5.0
resp77,resp1667,5.0
resp77,resp1716,5.0
resp77,resp3423,5.0
resp77,resp5726,5.0
resp78,resp415,1.0
resp78,resp621,2.0
resp79,resp1282,5.0
resp79,resp4470,5.0
resp79,resp232,5.0
resp79,resp4804,5.0
resp82,resp5727,5.0
resp82,resp1123,5.0
resp82,resp2039,5.0
resp82,resp5268,5.0
resp83,resp5484,5.0
resp83,resp4670,5.0
resp83,resp4471,5.0
resp83,resp4891,5.0
resp84,resp3311,4.0
resp85,resp1772,5.0
resp85,resp3549,4.0
resp85,resp4426,5.0
resp85,resp4809,4.0
resp91,resp413,3.0
resp91,resp1376,4.0
resp92,resp3,4.0
resp92,resp2264,3.0
resp92,resp51,3.0
resp92,resp1152,4.0
resp96,resp1376,5.0
resp98,resp2562,3.0
resp99,resp5584,5.0
resp99,resp469,5.0
resp99,resp6255,5.0
resp99,resp188,5.0
resp105,resp2890,1.0
resp105,resp1723,4.0
resp105,resp2480,4.0
resp105,resp5663,4.0
resp110,resp3861,5.0
resp110,resp3781,5.0
resp110,resp3008,5.0
resp110,resp4546,5.0
resp112,resp3193,5.0
resp114,resp4774,5.0
resp114,resp3755,5.0
resp114,resp3575,5.0
resp114,resp541,5.0
resp115,resp4442,
resp115,resp4754,
resp117,resp2428,5.0
resp118,resp235,
resp118,resp5835,
resp122,resp5953,4.0
resp124,resp2915,5.0
resp125,resp2649,5.0
resp126,resp3111,5.0
resp126,resp410,4.0
resp126,resp5586,4.0
resp129,resp4372,5.0
resp129,resp6233,4.0
resp129,resp2271,4.0
resp129,resp6134,3.0
resp133,resp4444,4.0
resp133,resp1908,2.0
resp133,resp2831,3.0
resp135,resp6047,5.0
resp135,resp2800,5.0
resp135,resp2797,5.0
resp135,resp4774,5.0
resp137,resp3673,4.0
resp139,resp999,
resp140,resp35,5.0
resp140,resp842,5.0
resp144,resp2056,5.0
resp144,resp767,5.0
resp144,resp4163,4.0
resp144,resp3961,4.0
resp147,resp64,4.0
resp147,resp4369,4.0
resp148,resp4761,5.0
resp148,resp1259,4.0
resp150,resp2890,4.0
resp153,resp2511,5.0
resp153,resp3535,5.0
resp158,resp5941,5.0
resp158,resp5497,5.0
resp159,resp3665,1.0
resp159,resp3221,1.0
resp159,resp3756,5.0
resp159,resp837,4.0
resp162,resp3254,5.0
resp162,resp1944,5.0
resp162,resp3428,5.0
resp163,resp3221,5.0
resp163,resp2659,5.0
resp163,resp4619,5.0
resp165,resp5481,5.0
resp165,resp6220,5.0
resp165,resp2290,4.0
resp167,resp4754,5.0
resp167,resp1423,5.0
resp167,resp1907,5.0
resp167,resp1559,5.0
resp168,resp1559,5.0
resp168,resp1423,5.0
resp169,resp1185,4.0
resp169,resp2654,5.0
resp169,resp2072,5.0
resp169,resp2397,4.0
resp170,resp1188,5.0
resp171,resp4417,5.0
resp171,resp4915,5.0
resp172,resp4181,5.0
resp172,resp3198,5.0
resp173,resp2250,5.0
resp173,resp3399,5.0
resp173,resp3617,5.0
resp179,resp3194,5.0
resp181,resp4417,3.0
resp181,resp4915,3.0
resp184,resp1606,4.0
resp184,resp2954,4.0
resp188,resp469,5.0
resp188,resp4574,5.0
resp194,resp2373,5.0
resp194,resp4581,5.0
resp194,resp336,5.0
resp194,resp81,5.0
resp195,resp689,2.0
resp195,resp6113,1.0
resp197,resp1911,5.0
resp197,resp6078,5.0
resp197,resp2854,5.0
resp199,resp4471,5.0
resp199,resp5484,5.0
resp199,resp4670,4.0
resp199,resp4891,4.0
resp203,resp5539,5.0
resp203,resp1472,5.0
resp203,resp3549,5.0
resp203,resp4654,5.0
resp204,resp2143,4.0
resp204,resp5488,4.0
resp205,resp2373,5.0
resp205,resp2461,5.0
resp206,resp4571,5.0
resp206,resp2039,5.0
resp206,resp2983,5.0
resp206,resp4169,5.0
resp207,resp634,5.0
resp211,resp4374,5.0
resp211,resp1472,5.0
resp211,resp3280,5.0
resp211,resp5936,5.0
resp214,resp4107,4.0
resp214,resp3447,4.0
resp214,resp3893,4.0
resp214,resp1701,4.0
resp221,resp473,1.0
resp222,resp2249,4.0
resp224,resp1571,4.0
resp224,resp3402,3.0
resp225,resp2264,4.0
resp230,resp5657,5.0
resp230,resp1397,4.0
resp230,resp3435,5.0
resp230,resp5802,3.0
resp231,resp1641,5.0
resp231,resp4345,5.0
resp231,resp3282,4.0
resp231,resp1170,5.0
resp232,resp1472,5.0
resp232,resp1545,4.0
resp232,resp4823,4.0
resp235,resp3356,5.0
resp238,resp819,5.0
resp238,resp2025,5.0
resp240,resp4989,4.0
resp241,resp5535,4.0
resp241,resp3227,4.0
resp242,resp5657,5.0
resp244,resp4049,5.0
resp244,resp4649,3.0
resp244,resp3282,2.0
resp244,resp1038,4.0
resp245,resp2039,5.0
resp245,resp5617,5.0
resp246,resp1908,4.0
resp246,resp894,4.0
resp246,resp4377,4.0
