,src,dst,weight
0,resp10,resp1210,3
1,resp10,resp3,6
2,resp10,resp4148,1
3,resp10,resp6220,1
4,resp1002,resp2865,2
5,resp1002,resp4088,2
6,resp1004,resp1416,2
7,resp1004,resp2616,6
8,resp1004,resp2926,6
9,resp1004,resp3064,4
10,resp1004,resp4195,6
11,resp1005,resp11,5
12,resp1005,resp358,1
13,resp1005,resp3823,5
14,resp1005,resp3860,1
15,resp1005,resp3916,4
16,resp1005,resp417,1
17,resp1005,resp5361,1
18,resp1005,resp6254,5
19,resp1006,resp2567,1
20,resp1006,resp3125,1
21,resp1006,resp3488,5
22,resp1006,resp5144,2
23,resp1006,resp5292,1
24,resp1008,resp2577,1
25,resp1008,resp3210,5
26,resp1008,resp3251,3
27,resp1008,resp4484,1
28,resp1008,resp5955,1
29,resp1012,resp2258,1
30,resp1012,resp5208,1
31,resp1013,resp2290,1
32,resp1013,resp286,3
33,resp1013,resp5220,3
34,resp1013,resp553,6
35,resp1013,resp6093,5
36,resp1013,resp6220,3
37,resp1016,resp247,2
38,resp1016,resp5720,5
39,resp1016,resp5731,3
40,resp1016,resp719,1
41,resp1018,resp2558,1
42,resp1018,resp2638,1
43,resp1018,resp3606,5
44,resp1018,resp4018,3
45,resp1018,resp4247,1
46,resp1018,resp668,3
47,resp1018,resp828,6
48,resp1019,resp1997,1
49,resp1019,resp4654,6
50,resp1019,resp6229,1
51,resp1020,resp2159,6
52,resp1022,resp11,5
53,resp1022,resp1376,5
54,resp1022,resp2143,1
55,resp1022,resp2161,1
56,resp1022,resp2915,3
57,resp1022,resp3414,2
58,resp1022,resp6196,2
59,resp1022,resp96,3
60,resp1028,resp1820,3
61,resp1028,resp3366,1
62,resp1028,resp3567,3
63,resp1028,resp3840,6
64,resp1028,resp420,6
65,resp1028,resp4598,5
66,resp1029,resp1024,1
67,resp1029,resp1580,1
68,resp1029,resp3989,1
69,resp1029,resp434,1
70,resp1029,resp4410,1
71,resp1029,resp4774,4
72,resp1029,resp5244,1
73,resp1029,resp5771,2
74,resp1033,resp1429,2
75,resp1033,resp301,2
76,resp1033,resp3781,1
77,resp1033,resp85,2
78,resp1035,resp1063,3
79,resp1035,resp2959,4
80,resp1035,resp4020,2
81,resp1035,resp6074,2
82,resp1035,resp6257,3
83,resp1038,resp1545,1
84,resp1038,resp2249,1
85,resp1039,resp1163,3
86,resp1039,resp51,1
87,resp1039,resp545,1
88,resp1039,resp5560,1
89,resp1042,resp1038,1
90,resp1042,resp1257,4
91,resp1042,resp1841,2
92,resp1042,resp2681,5
93,resp1042,resp3613,1
94,resp1042,resp4172,1
95,resp1042,resp4717,2
96,resp1043,resp1545,1
97,resp1043,resp1841,1
98,resp1043,resp2055,1
99,resp1043,resp2249,1
100,resp1043,resp2979,1
101,resp1043,resp3458,1
102,resp1043,resp3752,5
103,resp1043,resp5871,1
104,resp1043,resp742,1
105,resp1048,resp1376,2
106,resp1048,resp2435,1
107,resp1048,resp2441,3
108,resp1048,resp2481,1
109,resp1048,resp3316,1
110,resp1048,resp3773,1
111,resp1048,resp3982,1
112,resp1048,resp4743,1
113,resp1048,resp4928,5
114,resp1048,resp5289,4
115,resp1048,resp5577,1
116,resp1048,resp6117,2
117,resp1048,resp854,1
118,resp1049,resp1282,1
119,resp1049,resp1934,4
120,resp1049,resp318,3
121,resp1049,resp4470,1
122,resp1049,resp4699,4
123,resp1049,resp5790,3
124,resp1049,resp6133,1
125,resp1049,resp6216,2
126,resp105,resp1025,2
127,resp105,resp1164,1
128,resp105,resp2249,1
129,resp105,resp2351,2
130,resp105,resp3031,1
131,resp105,resp3447,1
132,resp105,resp3458,1
133,resp105,resp3738,3
134,resp105,resp5551,2
135,resp105,resp5570,2
136,resp105,resp5663,2
137,resp1053,resp1368,1
138,resp1053,resp1719,1
139,resp1053,resp2106,1
140,resp1053,resp2339,1
141,resp1053,resp3705,1
142,resp1053,resp4141,1
143,resp1053,resp4145,4
144,resp1053,resp4701,1
145,resp1053,resp4771,2
146,resp1053,resp4786,1
147,resp1053,resp5622,1
148,resp1053,resp577,4
149,resp1053,resp5974,3
150,resp1053,resp6038,1
151,resp1053,resp6187,1
152,resp1054,resp213,1
153,resp1054,resp3035,1
154,resp1054,resp3995,1
155,resp1054,resp5470,1
156,resp1054,resp5839,2
157,resp1056,resp1185,1
158,resp1056,resp1487,2
159,resp1056,resp1523,1
160,resp1056,resp262,1
161,resp1056,resp2648,1
162,resp1056,resp2831,1
163,resp1056,resp2877,2
164,resp1056,resp3545,5
165,resp1056,resp4367,1
166,resp1056,resp437,1
167,resp1056,resp4789,1
168,resp1056,resp6064,3
169,resp1056,resp6081,4
170,resp1060,resp1156,1
171,resp1060,resp1158,1
172,resp1060,resp1210,3
173,resp1060,resp2377,1
174,resp1060,resp2461,3
175,resp1060,resp2475,1
176,resp1060,resp4720,3
177,resp1060,resp4962,4
178,resp1060,resp5580,1
179,resp1060,resp6009,3
180,resp1060,resp6113,3
181,resp1062,resp1607,3
182,resp1062,resp2954,2
183,resp1062,resp4418,4
184,resp1062,resp4436,1
185,resp1062,resp6028,1
186,resp1066,resp1472,1
187,resp1066,resp188,2
188,resp1066,resp4873,4
189,resp1066,resp5494,1
190,resp1067,resp3977,6
191,resp1067,resp4819,1
192,resp1067,resp5944,5
193,resp1069,resp2271,2
194,resp1069,resp4372,3
195,resp1069,resp4655,3
196,resp1069,resp6233,6
197,resp1070,resp3328,1
198,resp1070,resp3627,6
199,resp1070,resp5975,3
200,resp1071,resp1376,1
201,resp1071,resp2161,1
202,resp1071,resp2824,1
203,resp1071,resp4928,2
204,resp1071,resp5060,1
205,resp1073,resp1534,4
206,resp1073,resp2461,2
207,resp1073,resp2746,1
208,resp1073,resp3448,5
209,resp1073,resp4935,1
210,resp1074,resp19,4
211,resp1074,resp2910,5
212,resp1074,resp3428,2
213,resp1078,resp1908,1
214,resp1078,resp4377,1
215,resp1078,resp5715,1
216,resp1078,resp893,1
217,resp1078,resp894,5
218,resp1083,resp1210,2
219,resp1083,resp573,6
220,resp1084,resp188,2
221,resp1084,resp469,1
222,resp1084,resp5494,3
223,resp1085,resp2461,1
224,resp1085,resp2855,1
225,resp1085,resp3448,6
226,resp1085,resp4449,1
227,resp1091,resp2438,1
228,resp1091,resp27,3
229,resp1091,resp3434,1
230,resp1091,resp3536,2
231,resp1091,resp4298,2
232,resp1091,resp5045,1
233,resp1091,resp5047,1
234,resp1091,resp6025,1
235,resp1091,resp716,1
236,resp1091,resp876,1
237,resp1094,resp2041,5
238,resp1094,resp5164,5
239,resp1094,resp5713,1
240,resp1095,resp1717,3
241,resp1095,resp1785,1
242,resp1095,resp1969,3
243,resp1095,resp2666,2
244,resp1095,resp2991,1
245,resp1095,resp4592,6
246,resp1095,resp4840,2
247,resp1095,resp528,4
248,resp1095,resp6255,1
249,resp1095,resp64,1
250,resp1096,resp1359,1
251,resp1096,resp2762,1
252,resp1096,resp3015,6
253,resp1096,resp3989,2
254,resp1096,resp6007,5
255,resp1097,resp1307,3
256,resp1097,resp1598,1
257,resp1097,resp2163,2
258,resp1097,resp4390,2
259,resp1097,resp4523,3
260,resp11,resp1325,1
261,resp11,resp1376,1
262,resp11,resp2824,1
263,resp11,resp2969,1
264,resp11,resp3414,5
265,resp11,resp3822,1
266,resp11,resp3823,3
267,resp11,resp4088,2
268,resp11,resp5488,1
269,resp11,resp5924,5
270,resp11,resp597,1
271,resp11,resp845,1
272,resp11,resp96,1
273,resp110,resp3008,1
274,resp110,resp3781,1
275,resp110,resp3861,1
276,resp110,resp402,1
277,resp1101,resp1851,1
278,resp1101,resp2300,3
279,resp1101,resp3484,3
280,resp1101,resp488,1
281,resp1101,resp490,1
282,resp1101,resp4935,6
283,resp1101,resp5390,2
284,resp1101,resp5800,1
285,resp1101,resp6093,1
286,resp1101,resp715,5
287,resp1104,resp1641,1
288,resp1104,resp1701,1
289,resp1104,resp2041,1
290,resp1104,resp3006,3
291,resp1104,resp3014,1
292,resp1104,resp3067,2
293,resp1104,resp3620,1
294,resp1104,resp3749,2
295,resp1104,resp5153,6
296,resp1104,resp5873,1
297,resp1104,resp622,1
298,resp1105,resp1130,4
299,resp1105,resp4926,6
300,resp1105,resp5330,1
301,resp1105,resp5351,3
302,resp1111,resp1881,3
303,resp1111,resp2747,1
304,resp1111,resp2820,3
305,resp1111,resp3215,1
306,resp1111,resp4309,4
307,resp1111,resp4914,4
308,resp1116,resp1600,1
309,resp1116,resp2106,3
