,src,to,weights,weight_rank
0,resp10,resp3,0.5236363636363636,2.0
1,resp1004,resp1416,0.075,2.0
2,resp1005,resp11,0.4173913043478261,6.0
3,resp1008,resp3210,0.5454545454545454,2.0
4,resp1013,resp553,0.4114285714285714,1.0
5,resp1016,resp5731,0.19636363636363635,7.0
6,resp1018,resp828,0.504,1.0
7,resp1019,resp4654,0.54,1.0
8,resp1020,resp2159,0.24,3.0
9,resp1022,resp1376,0.4363636363636363,1.0
10,resp1028,resp420,0.36,1.0
11,resp1028,resp4598,0.3,1.0
12,resp1033,resp1429,0.20571428571428574,1.0
13,resp1035,resp6257,0.19285714285714284,4.0
14,resp1038,resp1545,0.12,3.0
15,resp1042,resp2681,0.525,2.0
16,resp1043,resp1841,0.08307692307692308,5.0
17,resp1043,resp3752,0.8307692307692308,1.0
18,resp105,resp5663,0.22,1.0
19,resp1053,resp4771,0.225,3.0
20,resp1054,resp213,0.1,6.0
21,resp1056,resp3545,0.6499999999999999,2.0
22,resp1060,resp6113,0.2475,5.0
23,resp1062,resp2954,0.16363636363636366,13.0
24,resp1067,resp5944,0.3,4.0
25,resp1069,resp4372,0.15428571428571428,4.0
26,resp1070,resp3328,0.036000000000000004,2.0
27,resp1073,resp3448,0.4615384615384615,3.0
28,resp1078,resp1908,0.06666666666666668,7.0
29,resp1085,resp3448,0.64,1.0
30,resp1091,resp3434,0.08571428571428573,3.0
31,resp1091,resp5047,0.08571428571428573,5.0
32,resp1096,resp3989,0.12,3.0
33,resp11,resp1376,0.065,10.0
34,resp110,resp3781,0.12,4.0
35,resp1101,resp4935,0.6,2.0
36,resp1104,resp5153,0.792,1.0
37,resp1105,resp5351,0.15428571428571428,2.0
38,resp1111,resp4914,0.36,2.0
39,resp1116,resp4771,0.192,5.0
40,resp112,resp3193,0.24,2.0
41,resp1123,resp5267,0.162,9.0
42,resp1127,resp35,0.54,1.0
43,resp1128,resp235,0.18,2.0
44,resp1129,resp1311,0.162,3.0
