uid,function,hierarchy,region,operation,clocent
resp0,logistics,E,central,implementation,0
resp1,business,E,country-wide,implementation,0
resp2,mng,E,west,service,0
resp3,leadership,TL,country-wide,corp_gov,0.734479426
resp4,business,E,country-wide,implementation,0
resp5,control,TL,country-wide,corp_gov,0.811973045
resp6,business,E,country-wide,business_mng,0
resp7,business,E,country-wide,business_mng,0
resp8,logistics,E,west,implementation,0
resp10,leadership,E,country-wide,corp_gov,0.753764281
resp11,network,MM,central,implementation,0.79150709
resp12,business,E,country-wide,business_mng,0
resp13,business,E,central,implementation,0
resp17,hr,E,west,implementation,0.868050532
resp18,business,E,country-wide,business_mng,0
resp19,network,E,east,business_mng,0.889328984
resp21,logistics,E,country-wide,service,0.753041871
resp22,logistics,E,east,implementation,0
resp25,mng,E,east,implementation,0.814963099
resp27,business,E,country-wide,implementation,0.636119601
resp28,business,TL,country-wide,implementation,0.65143276
resp29,mng,E,country-wide,corp_gov,0.711277958
resp30,hr,E,central,service,0
resp31,business,E,country-wide,business_mng,0
resp34,network,TL,east,implementation,0
resp35,network,MM,central,implementation,0.790590905
resp36,business,E,country-wide,service,0.793691562
resp37,logistics,E,west,implementation,0
resp38,hr,E,central,service,0.681251077
resp39,hr,E,country-wide,corp_gov,0
resp40,business,E,country-wide,business_mng,0.792962066
resp42,logistics,E,country-wide,implementation,0
resp43,mng,E,country-wide,corp_gov,0.873454032
resp44,network,TL,central,implementation,0.7057433
resp45,network,TL,west,implementation,0
resp48,logistics,E,country-wide,implementation,0.010457461
resp50,network,TL,east,implementation,0.749643903
resp51,security,E,country-wide,corp_gov,0.732870382
resp52,logistics,E,east,implementation,0.754812446
resp53,network,TL,central,implementation,0.672372113
resp54,network,TL,east,implementation,0
resp57,logistics,E,central,implementation,0.772477864
resp58,it,E,country-wide,service,0.79782497
resp59,network,MM,central,implementation,0.755931174
resp60,mng,E,country-wide,service,0.77215657
resp61,business,E,country-wide,implementation,0.716237306
resp63,business,E,country-wide,business_mng,0
resp64,business,E,country-wide,business_mng,0
resp65,logistics,E,east,implementation,0.778354633
resp67,network,MM,west,implementation,0.864836543
resp70,hr,E,east,implementation,0.806143003
resp71,network,TL,east,implementation,0.737785211
resp73,network,TL,east,implementation,0.75522423
resp74,business,E,country-wide,business_mng,0
resp75,logistics,E,country-wide,implementation,0.697913661
resp76,network,TL,east,implementation,0
resp77,logistics,E,country-wide,implementation,0.768552216
resp78,logistics,E,country-wide,implementation,0.765469361
resp79,business,E,country-wide,business_mng,0.660089614
resp80,business,E,country-wide,service,0
resp81,hr,E,central,service,0
resp82,network,MM,east,implementation,0.859756206
resp83,hr,E,country-wide,service,0.749952328
resp84,network,MM,west,implementation,0.837412413
resp85,logistics,MM,country-wide,implementation,0.902053259
resp88,network,TL,west,implementation,0
resp89,business,E,country-wide,business_mng,0
resp90,business,TL,country-wide,business_mng,0
resp91,network,MM,central,implementation,0.734545251
resp92,security,E,country-wide,corp_gov,0.862152834
resp93,logistics,E,country-wide,business_mng,0
resp94,logistics,E,east,implementation,0
resp96,network,MM,central,business_mng,0.748327406
resp98,logistics,E,country-wide,implementation,0.658000635
