uid,function,hierarchy,region,operation
resp0,logisztika,E,központi régió,Végrehajtás
resp1,üzlet,E,országos szintű,Végrehajtás
resp2,gazdálkodás,E,nyugati régió,Szolgáltatás
resp3,törzskari,TL,országos szintű,Társaságirányítás
resp4,üzlet,E,országos szintű,Végrehajtás
resp5,ellenőrzés,TL,országos szintű,Társaságirányítás
resp6,üzlet,E,országos szintű,Üzleti irányítás
resp7,üzlet,E,országos szintű,Üzleti irányítás
resp8,logisztika,E,nyugati régió,Végrehajtás
resp9,logisztika,E,országos szintű,Végrehajtás
resp10,törzskari,E,országos szintű,Társaságirányítás
resp11,hálózat,MM,központi régió,Végrehajtás
resp12,üzlet,E,országos szintű,Üzleti irányítás
resp13,üzlet,E,központi régió,Végrehajtás
resp14,hálózat,TL,nyugati régió,Végrehajtás
resp15,hálózat,TL,nyugati régió,Végrehajtás
resp16,üzlet,E,országos szintű,Végrehajtás
resp17,HR,E,nyugati régió,Végrehajtás
resp18,üzlet,E,országos szintű,Üzleti irányítás
resp19,hálózat,E,keleti régió,Üzleti irányítás
resp20,logisztika,E,keleti régió,Végrehajtás
resp21,logisztika,E,országos szintű,Szolgáltatás
resp22,logisztika,E,keleti régió,Végrehajtás
resp23,hálózat,TL,nyugati régió,Végrehajtás
resp24,hálózat,TL,központi régió,Végrehajtás
resp25,gazdálkodás,E,keleti régió,Végrehajtás
resp26,üzlet,E,országos szintű,Végrehajtás
resp27,üzlet,E,országos szintű,Végrehajtás
resp28,üzlet,TL,országos szintű,Végrehajtás
resp29,gazdálkodás,E,országos szintű,Társaságirányítás
resp30,HR,E,központi régió,Szolgáltatás
resp31,üzlet,E,országos szintű,Üzleti irányítás
resp32,logisztika,E,országos szintű,Végrehajtás
resp33,logisztika,E,országos szintű,Végrehajtás
resp34,hálózat,TL,keleti régió,Végrehajtás
resp35,hálózat,MM,központi régió,Végrehajtás
resp36,üzlet,E,országos szintű,Szolgáltatás
resp37,logisztika,E,nyugati régió,Végrehajtás
resp38,HR,E,központi régió,Szolgáltatás
resp39,HR,E,országos szintű,Társaságirányítás
resp40,üzlet,E,országos szintű,Üzleti irányítás
resp41,logisztika,E,országos szintű,Végrehajtás
resp42,logisztika,E,országos szintű,Végrehajtás
resp43,gazdálkodás,E,országos szintű,Társaságirányítás
resp44,hálózat,TL,központi régió,Végrehajtás
resp45,hálózat,TL,nyugati régió,Végrehajtás
resp46,hálózat,TL,keleti régió,Végrehajtás
resp47,logisztika,E,központi régió,Végrehajtás
resp48,logisztika,E,országos szintű,Végrehajtás
resp49,logisztika,E,országos szintű,Végrehajtás
resp50,hálózat,TL,keleti régió,Végrehajtás
resp51,biztonság,E,országos szintű,Társaságirányítás
resp52,logisztika,E,keleti régió,Végrehajtás
resp53,hálózat,TL,központi régió,Végrehajtás
resp54,hálózat,TL,keleti régió,Végrehajtás
resp55,logisztika,E,országos szintű,Végrehajtás
resp56,üzlet,E,országos szintű,Szolgáltatás
resp57,logisztika,E,központi régió,Végrehajtás
resp58,IT,E,országos szintű,Szolgáltatás
resp59,hálózat,MM,központi régió,Végrehajtás
resp60,gazdálkodás,E,országos szintű,Szolgáltatás
resp61,üzlet,E,országos szintű,Végrehajtás
resp62,hálózat,TL,nyugati régió,Végrehajtás
resp63,üzlet,E,országos szintű,Üzleti irányítás
resp64,üzlet,E,országos szintű,Üzleti irányítás
resp65,logisztika,E,keleti régió,Végrehajtás
resp66,HR,E,központi régió,Szolgáltatás
resp67,hálózat,MM,nyugati régió,Végrehajtás
resp68,gazdálkodás,E,központi régió,Végrehajtás
resp69,logisztika,E,országos szintű,Végrehajtás
resp70,HR,E,keleti régió,Végrehajtás
resp71,hálózat,TL,keleti régió,Végrehajtás
resp72,logisztika,E,országos szintű,Végrehajtás
resp73,hálózat,TL,keleti régió,Végrehajtás
resp74,üzlet,E,országos szintű,Üzleti irányítás
resp75,logisztika,E,országos szintű,Végrehajtás
resp76,hálózat,TL,keleti régió,Végrehajtás
resp77,logisztika,E,országos szintű,Végrehajtás
resp78,logisztika,E,országos szintű,Végrehajtás
resp79,üzlet,E,országos szintű,Üzleti irányítás
resp80,üzlet,E,országos szintű,Szolgáltatás
resp81,HR,E,központi régió,Szolgáltatás
resp82,hálózat,MM,keleti régió,Végrehajtás
resp83,HR,E,országos szintű,Szolgáltatás
resp84,hálózat,MM,nyugati régió,Végrehajtás
resp85,logisztika,MM,országos szintű,Végrehajtás
resp86,logisztika,E,országos szintű,Végrehajtás
resp87,logisztika,E,országos szintű,Végrehajtás
resp88,hálózat,TL,nyugati régió,Végrehajtás
resp89,üzlet,E,országos szintű,Üzleti irányítás
resp90,üzlet,TL,országos szintű,Üzleti irányítás
resp91,hálózat,MM,központi régió,Végrehajtás
resp92,biztonság,E,országos szintű,Társaságirányítás
resp93,logisztika,E,országos szintű,Üzleti irányítás
resp94,logisztika,E,keleti régió,Végrehajtás
resp95,HR,E,keleti régió,Végrehajtás
resp96,hálózat,MM,központi régió,Üzleti irányítás
resp97,hálózat,TL,keleti régió,Végrehajtás
resp98,logisztika,E,országos szintű,Végrehajtás
resp99,üzlet,E,országos szintű,Üzleti irányítás
resp100,üzlet,E,országos szintű,Végrehajtás
resp101,hálózat,MM,keleti régió,Végrehajtás
resp102,gazdálkodás,E,országos szintű,Szolgáltatás
resp103,hálózat,TL,központi régió,Végrehajtás
resp104,logisztika,E,országos szintű,Végrehajtás
resp105,logisztika,TL,keleti régió,Végrehajtás
resp106,üzlet,E,országos szintű,Üzleti irányítás
resp107,üzlet,E,országos szintű,Végrehajtás
resp108,logisztika,E,nyugati régió,Végrehajtás
resp109,IT,E,országos szintű,Szolgáltatás
resp110,logisztika,E,országos szintű,Végrehajtás
resp111,logisztika,E,központi régió,Végrehajtás
resp112,logisztika,E,keleti régió,Végrehajtás
resp113,üzlet,TL,országos szintű,Üzleti irányítás
resp114,hálózat,TL,nyugati régió,Végrehajtás
resp115,gazdálkodás,E,országos szintű,Szolgáltatás
resp116,logisztika,E,országos szintű,Végrehajtás
resp117,hálózat,TL,keleti régió,Végrehajtás
resp118,logisztika,E,országos szintű,Végrehajtás
resp119,logisztika,E,országos szintű,Végrehajtás
resp120,HR,E,központi régió,Szolgáltatás
resp121,logisztika,E,keleti régió,Végrehajtás
resp122,biztonság,E,nyugati régió,Szolgáltatás
resp123,hálózat,TL,nyugati régió,Végrehajtás
resp124,HR,E,központi régió,Végrehajtás
resp125,hálózat,TL,nyugati régió,Végrehajtás
resp126,gazdálkodás,E,országos szintű,Társaságirányítás
resp127,logisztika,E,országos szintű,Végrehajtás
resp128,törzskari,E,országos szintű,Szolgáltatás
resp129,hálózat,MM,központi régió,Végrehajtás
resp130,gazdálkodás,E,országos szintű,Szolgáltatás
resp131,gazdálkodás,E,központi régió,Szolgáltatás
resp132,hálózat,MM,keleti régió,Végrehajtás
resp133,IT,E,országos szintű,Szolgáltatás
resp134,hálózat,TL,központi régió,Végrehajtás
resp135,hálózat,TL,nyugati régió,Végrehajtás
resp136,hálózat,TL,központi régió,Végrehajtás
resp137,logisztika,TL,nyugati régió,Végrehajtás
resp138,HR,E,központi régió,Végrehajtás
resp139,hálózat,TL,központi régió,Végrehajtás
resp140,hálózat,TL,központi régió,Végrehajtás
resp141,hálózat,TL,nyugati régió,Végrehajtás
resp142,gazdálkodás,TL,országos szintű,Társaságirányítás
resp143,logisztika,TL,keleti régió,Végrehajtás
resp144,hálózat,MM,keleti régió,Végrehajtás
resp145,logisztika,E,országos szintű,Üzleti irányítás
resp146,üzlet,E,országos szintű,Végrehajtás
resp147,üzlet,E,országos szintű,Üzleti irányítás
resp148,hálózat,TL,központi régió,Végrehajtás
resp149,üzlet,E,országos szintű,Üzleti irányítás
resp150,logisztika,E,keleti régió,Üzleti irányítás
resp151,hálózat,TL,keleti régió,Végrehajtás
resp152,HR,E,nyugati régió,Végrehajtás
resp153,hálózat,MM,nyugati régió,Végrehajtás
resp154,üzlet,E,országos szintű,Szolgáltatás
resp155,gazdálkodás,E,keleti régió,Végrehajtás
resp156,hálózat,TL,keleti régió,Végrehajtás
resp157,hálózat,TL,nyugati régió,Végrehajtás
resp158,ellenőrzés,E,központi régió,Üzleti irányítás
resp159,üzlet,E,országos szintű,Szolgáltatás
resp160,üzlet,E,országos szintű,Üzleti irányítás
resp161,logisztika,E,országos szintű,Végrehajtás
resp162,hálózat,TL,keleti régió,Végrehajtás
resp163,üzlet,E,országos szintű,Üzleti irányítás
resp164,IT,E,országos szintű,Szolgáltatás
resp165,törzskari,E,országos szintű,Társaságirányítás
resp166,biztonság,E,országos szintű,Szolgáltatás
resp167,gazdálkodás,E,országos szintű,Szolgáltatás
resp168,gazdálkodás,E,országos szintű,Szolgáltatás
resp169,IT,TL,országos szintű,Szolgáltatás
resp170,gazdálkodás,E,országos szintű,Szolgáltatás
resp171,logisztika,E,központi régió,Végrehajtás
resp172,logisztika,E,országos szintű,Végrehajtás
resp173,hálózat,TL,keleti régió,Végrehajtás
resp174,logisztika,E,központi régió,Végrehajtás
resp175,gazdálkodás,E,országos szintű,Szolgáltatás
resp176,gazdálkodás,E,országos szintű,Szolgáltatás
resp177,logisztika,E,országos szintű,Végrehajtás
resp178,IT,E,országos szintű,Szolgáltatás
resp179,üzlet,TL,országos szintű,Végrehajtás
resp180,törzskari,E,országos szintű,Szolgáltatás
resp181,logisztika,E,központi régió,Végrehajtás
resp182,üzlet,E,országos szintű,Végrehajtás
resp183,hálózat,TL,központi régió,Végrehajtás
resp184,üzlet,E,országos szintű,Üzleti irányítás
resp185,IT,E,országos szintű,Szolgáltatás
resp186,logisztika,E,országos szintű,Üzleti irányítás
resp187,hálózat,TL,nyugati régió,Végrehajtás
resp188,üzlet,E,országos szintű,Üzleti irányítás
resp189,hálózat,TL,központi régió,Végrehajtás
resp190,logisztika,E,országos szintű,Végrehajtás
resp191,hálózat,TL,nyugati régió,Végrehajtás
resp192,hálózat,TL,keleti régió,Végrehajtás
resp193,logisztika,E,keleti régió,Üzleti irányítás
resp194,HR,E,országos szintű,Szolgáltatás
resp195,HR,TL,országos szintű,Társaságirányítás
resp196,biztonság,E,országos szintű,Társaságirányítás
resp197,hálózat,TL,központi régió,Végrehajtás
resp198,logisztika,E,keleti régió,Végrehajtás
resp199,HR,E,keleti régió,Szolgáltatás
resp200,logisztika,E,országos szintű,Végrehajtás
resp201,HR,E,nyugati régió,Végrehajtás
resp202,gazdálkodás,E,országos szintű,Szolgáltatás
resp203,üzlet,E,országos szintű,Üzleti irányítás
resp204,hálózat,E,központi régió,Üzleti irányítás
resp205,HR,E,központi régió,Szolgáltatás
resp206,hálózat,MM,keleti régió,Végrehajtás
resp207,hálózat,TL,központi régió,Végrehajtás
resp208,hálózat,E,keleti régió,Üzleti irányítás
