uid,function,hierarchy,region,operation,clocent,bc_1,in_degree,out_degree,sum_degree,corporate,social,comm_qual,_n,sum_degree_sqrt,bxcx_sum_degree,bxcx_social,bxcx_corp,bxcx_commqual,bxcx_bc,bc_2,bxcx_bc2,const,_E,_MM,_TL,_TM,business_mng,corp_gov,implementation,service,log_comm_qual,management,mng_degree
resp3,leadership,TL,country-wide,corp_gov,0.7344794259174582,0.018744316960261624,4.0,15.0,19.0,22.0,25.0,4.35,21.0,361.0,4.726523633470892,0.27626859279953503,0.10958369162636596,416.66873448784287,-0.34147370959805284,23758.0,1.3579509557913965,3,0,0,1,0,0,1,0,0,1.4701758451005926,1,0.0
resp5,control,TL,country-wide,corp_gov,0.8119730447605423,0.0029554765271967353,3.0,11.0,14.0,35.0,34.0,3.4285714285714284,7.0,196.0,4.021464477179559,0.6984134169103801,0.6003192715139721,119.89232199005812,-0.5500784199943152,3746.0,0.9535806463331296,3,0,0,1,0,0,1,0,0,1.2321436812926323,1,0.0
resp10,leadership,E,country-wide,corp_gov,0.7537642814009211,0.023818963255758,4.0,4.0,8.0,5.0,8.0,3.333333333333333,3.0,64.0,2.885518394057064,-1.0757099442298754,-1.19742950185331,103.4458280380994,-0.2751128264912328,30190.0,1.4104034467237063,3,1,0,0,0,0,1,0,0,1.203972804325936,0,0.0
resp11,network,MM,central,implementation,0.7915070896970463,0.3103905197528161,13.0,51.0,64.0,190.0,136.0,4.95,20.0,4096.0,8.265460655466986,2.918304731657985,2.7105334752971646,819.0184133039058,3.0207670142214758,393413.0,1.972473920776414,3,0,1,0,0,0,0,1,0,1.599387576580599,1,64.0
resp19,network,E,east,business_mng,0.8893289837036584,0.4527898917337784,8.0,17.0,25.0,28.0,23.0,5.0,4.0,625.0,5.417583487417034,0.16600808423871866,0.3598066306609053,863.2179224407075,4.398501345233544,573901.0,2.0551421307422744,3,1,0,0,0,1,0,0,0,1.6094379124341003,0,0.0
resp28,business,TL,country-wide,implementation,0.651432760035913,0.00642141576477689,6.0,4.0,10.0,7.0,4.0,3.6666666666666665,3.0,100.0,3.315782831178036,-1.7310662348668957,-0.9370462286978276,170.39294214528323,-0.5040059726397276,8139.0,1.123436365579782,3,0,0,1,0,0,0,1,0,1.2992829841302609,1,0.0
resp29,mng,E,country-wide,corp_gov,0.7112779583279454,0.0005633236092948396,7.0,6.0,13.0,11.0,15.0,4.0,3.0,169.0,3.859873340080033,-0.3711957709419541,-0.5526003703791776,268.66371846960567,-0.5819700715192492,714.0,0.5909340272037447,3,1,0,0,0,0,1,0,0,1.3862943611198906,0,0.0
resp35,network,MM,central,implementation,0.7905909051618516,0.05410825833200195,11.0,16.0,27.0,75.0,57.0,4.8,11.0,729.0,5.621800290563166,1.463765039598769,1.487191961076794,697.271409186861,0.11426529851247533,68581.0,1.5900348844247971,3,0,1,0,0,0,0,1,0,1.5686159179138452,1,27.0
resp51,security,E,country-wide,corp_gov,0.7328703817063456,0.024441459513088005,3.0,25.0,28.0,56.0,62.0,4.166666666666667,19.0,784.0,5.7199526558499825,1.5951055388904551,1.1351969046876629,332.6320826358745,-0.26699519415631057,30979.0,1.4160514702580291,3,1,0,0,0,0,1,0,0,1.4271163556401458,0,0.0
resp64,business,E,country-wide,business_mng,0.0,0.0,0.0,8.0,8.0,14.0,12.0,4.666666666666667,3.0,64.0,2.885518394057064,-0.633006371520259,-0.3319487265926289,601.7478116965717,-0.5894913775946455,0.0,-0.8479547481484687,3,1,0,0,0,1,0,0,0,1.540445040947149,0,0.0
resp85,logistics,MM,country-wide,implementation,0.9020532592794316,0.10332175521853446,15.0,15.0,30.0,62.0,28.0,4.0,11.0,900.0,5.909121483456758,0.429004721499028,1.2561195347955858,268.66371846960567,0.7236683120782358,130958.0,1.7316525202295223,3,0,1,0,0,0,0,1,0,1.3862943611198906,1,30.0
resp90,business,TL,country-wide,business_mng,0.0,0.0,0.0,5.0,5.0,17.0,11.0,4.333333333333333,3.0,25.0,2.0681122920294968,-0.7316154103339412,-0.14670421359800187,408.38525237872636,-0.5894913775946455,0.0,-0.8479547481484687,3,0,0,1,0,1,0,0,0,1.466337068793427,1,0.0
resp91,network,MM,central,implementation,0.7345452512827492,0.0363967013221142,5.0,22.0,27.0,72.0,53.0,4.857142857142857,17.0,729.0,5.621800290563166,1.3516666994454536,1.4370945704142812,741.7915028739436,-0.11204171441986596,46132.0,1.50322762428656,3,0,1,0,0,0,0,1,0,1.580450375560848,1,27.0
resp96,network,MM,central,business_mng,0.7483274059632884,0.03732847328650805,2.0,54.0,56.0,108.0,97.0,4.7073170731707314,43.0,3136.0,7.8104379547965985,2.3273143798835982,1.9480138827057587,629.6726910933234,-0.10003992142837646,47313.0,1.5087617613202655,3,0,1,0,0,1,0,0,0,1.5491181222005777,1,56.0
resp132,network,MM,east,implementation,0.0,0.0,0.0,26.0,26.0,63.0,49.0,4.2727272727272725,13.0,676.0,5.521067611615491,1.23237206567202,1.2752949797454525,379.37776710604584,-0.5894913775946455,0.0,-0.8479547481484687,3,0,1,0,0,0,0,1,0,1.452252328911688,1,26.0
resp142,mng,TL,country-wide,corp_gov,0.0,0.0,0.0,5.0,5.0,13.0,8.0,3.6666666666666665,3.0,25.0,2.0681122920294968,-1.0757099442298754,-0.4008765775855505,170.39294214528323,-0.5894913775946455,0.0,-0.8479547481484687,3,0,0,1,0,0,1,0,0,1.2992829841302609,1,0.0
resp143,logistics,TL,east,implementation,0.0,0.0,0.0,6.0,6.0,12.0,6.0,4.25,4.0,36.0,2.3716096837996274,-1.3635259459925535,-0.4742087722457392,368.93945355779505,-0.5894913775946455,0.0,-0.8479547481484687,3,0,0,1,0,0,0,1,0,1.4469189829363254,1,0.0
resp167,mng,E,country-wide,service,0.7224695591531505,0.029292038714691188,7.0,8.0,15.0,16.0,27.0,4.6,5.0,225.0,4.175161332940732,0.379629449201121,-0.2052663882677371,558.1241406987182,-0.2039091446445457,37127.0,1.4556847922368794,3,1,0,0,0,0,0,0,1,1.5260563034950492,0,0.0
resp169,it,TL,country-wide,service,0.8306532800053629,0.13248321962322804,12.0,22.0,34.0,50.0,38.0,4.5,13.0,1156.0,6.262443119351838,0.8571837850805492,1.0026997303830458,497.5131193294509,1.0720709883586907,167919.5,1.7860806428854092,3,0,0,1,0,0,0,0,1,1.5040773967762742,1,0.0
resp172,logistics,E,country-wide,implementation,0.7866829115336099,0.0428914911704547,3.0,7.0,10.0,30.0,33.0,4.571428571428571,7.0,100.0,3.315782831178036,0.6563510678775492,0.43324850398304027,540.229117332249,-0.028609409799666717,54364.0,1.5391746791865282,3,1,0,0,0,0,0,1,0,1.519825753744413,0,0.0
resp188,business,E,country-wide,business_mng,0.7005175994711893,0.013991569870076593,4.0,12.0,16.0,12.0,15.0,4.0,10.0,256.0,4.321839547389929,-0.3711957709419541,-0.4742087722457392,268.66371846960567,-0.4039257989498055,17734.0,1.2939303167990994,3,1,0,0,0,1,0,0,0,1.3862943611198906,0,0.0
resp195,hr,TL,country-wide,corp_gov,0.8092472268772626,0.05522464895826554,7.0,14.0,21.0,26.0,36.0,4.428571428571429,7.0,441.0,4.971987201674973,0.7795993838576397,0.2818390689600669,457.56998290397934,0.12840196004064933,69996.0,1.5945059694600765,3,0,0,1,0,0,1,0,0,1.488077055429833,1,0.0
resp206,network,MM,east,implementation,0.9058417234541244,0.007063636238118626,9.0,8.0,17.0,25.0,19.0,4.0,3.0,289.0,4.462229901248142,-0.07989802678213727,0.24096136636495544,268.66371846960567,-0.4954863418223368,8953.0,1.1443028864363305,3,0,1,0,0,0,0,1,0,1.3862943611198906,1,17.0
resp213,it,TL,country-wide,service,0.0,0.0,0.0,14.0,14.0,24.0,27.0,3.8,15.0,196.0,4.021464477179559,0.379629449201121,0.19869854318826927,205.4190564514794,-0.5894913775946455,0.0,-0.8479547481484687,3,0,0,1,0,0,0,0,1,1.33500106673234,1,0.0
resp231,business,E,country-wide,business_mng,0.8387715206276328,0.004952224661450263,9.0,13.0,22.0,12.0,19.0,4.2,6.0,484.0,5.088611499610178,-0.07989802678213727,-0.4742087722457392,346.79104968437616,-0.5235164130309954,6276.833333333325,1.0665651937977607,3,1,0,0,0,1,0,0,0,1.4350845252893227,0,0.0
resp232,business,TL,country-wide,business_mng,0.7936531339026741,0.11336374807442345,4.0,25.0,29.0,65.0,44.0,4.724137931034483,29.0,841.0,5.815679529891553,1.0714367782019156,1.3128799330185243,641.5299362444288,0.844672592312243,143686.0,1.7519592028602975,3,0,0,1,0,1,0,0,0,1.552685095841651,1,0.0
resp235,logistics,TL,country-wide,implementation,0.8363176581906322,0.008296005254531147,3.0,7.0,10.0,15.0,14.0,4.5,7.0,100.0,3.315782831178036,-0.4535119150008351,-0.26689201882721525,497.5131193294509,-0.4791532290112277,10515.0,1.1795067795459495,3,0,0,1,0,0,0,1,0,1.5040773967762742,1,0.0
resp254,logistics,E,country-wide,service,0.7837865462190796,0.014770281918219457,10.0,13.0,23.0,21.0,26.0,4.75,4.0,529.0,5.201579642128343,0.3287520587876947,0.06248052284299544,660.1120601008688,-0.3936732980781987,18721.0,1.305787568367184,3,1,0,0,0,0,0,0,1,1.55814461804655,0,0.0
resp272,mng,E,country-wide,service,0.8723848764037164,0.006692820977098214,6.0,4.0,10.0,12.0,12.0,4.666666666666667,3.0,100.0,3.315782831178036,-0.633006371520259,-0.4742087722457392,601.7478116965717,-0.5004050926159128,8483.0,1.1324984033934582,3,1,0,0,0,0,0,0,1,1.540445040947149,0,0.0
resp283,network,MM,east,implementation,0.8122949369487527,0.04438421983822199,6.0,8.0,14.0,26.0,26.0,4.5,4.0,196.0,4.021464477179559,0.3287520587876947,0.2818390689600669,497.5131193294509,-0.009507468291860784,56256.0,1.5466643485400755,3,0,1,0,0,0,0,1,0,1.5040773967762742,1,14.0
resp309,business,TL,country-wide,implementation,0.0,0.0,0.0,7.0,7.0,21.0,16.0,4.666666666666667,3.0,49.0,2.6414681220093783,-0.2930880451260397,0.06248052284299544,601.7478116965717,-0.5894913775946455,0.0,-0.8479547481484687,3,0,0,1,0,0,0,1,0,1.540445040947149,1,0.0
resp312,business,E,country-wide,business_mng,0.695199619476052,0.005847835563155953,4.0,10.0,14.0,33.0,41.0,4.625,8.0,196.0,4.021464477179559,0.9675226953954678,0.5360612944733453,574.1726102166725,-0.5116196528344998,7412.0,1.1029541016018811,3,1,0,0,0,1,0,0,0,1.5314763709643886,0,0.0
resp326,network,TL,central,implementation,0.0,0.0,0.0,7.0,7.0,8.0,7.0,4.0,5.0,49.0,2.6414681220093783,-1.212051756019325,-0.8275118242992068,268.66371846960567,-0.5894913775946455,0.0,-0.8479547481484687,3,0,0,1,0,0,0,1,0,1.3862943611198906,1,0.0
resp328,logistics,TL,east,implementation,0.8219481435905244,0.012651112149919822,7.0,2.0,9.0,7.0,3.0,2.5,3.0,81.0,3.109040947554204,-1.9640526451089773,-0.9370462286978276,22.837319337507843,-0.4215925203436064,16035.0,1.271882940792327,3,0,0,1,0,0,0,1,0,0.9162907318741551,1,0.0
resp346,mng,TL,east,service,0.7503827799325169,0.030966230169766323,7.0,16.0,23.0,37.0,43.0,4.714285714285714,9.0,529.0,5.201579642128343,1.0374621991864643,0.6615564218583413,634.5632870994509,-0.1822039636021832,39249.0,1.4678530987766565,3,0,0,1,0,0,0,0,1,1.550597412411167,1,0.0
resp354,mng,E,central,service,0.0,0.0,0.0,8.0,8.0,21.0,20.0,4.6,5.0,64.0,2.885518394057064,-0.014798605904865706,0.06248052284299544,558.1241406987182,-0.5894913775946455,0.0,-0.8479547481484687,3,1,0,0,0,0,0,0,1,1.5260563034950492,0,0.0
resp366,hr,E,east,service,0.0,0.0,0.0,7.0,7.0,7.0,11.0,5.0,3.0,49.0,2.6414681220093783,-0.7316154103339412,-0.9370462286978276,863.2179224407075,-0.5894913775946455,0.0,-0.8479547481484687,3,1,0,0,0,0,0,0,1,1.6094379124341003,0,0.0
resp399,mng,TL,west,service,0.7526913319692272,0.01780307737218215,9.0,8.0,17.0,15.0,20.0,4.75,4.0,289.0,4.462229901248142,-0.014798605904865706,-0.26689201882721525,660.1120601008688,-0.353818655336705,22565.0,1.3466721844942404,3,0,0,1,0,0,0,0,1,1.55814461804655,1,0.0
resp410,mng,TL,country-wide,corp_gov,0.777393143679495,0.01692337733805926,6.0,17.0,23.0,34.0,39.0,4.4,10.0,529.0,5.201579642128343,0.8947312420023883,0.5685878646685171,442.3376947122704,-0.36536678876414896,21450.0,1.335578194120239,3,0,0,1,0,0,1,0,0,1.4816045409242156,1,0.0
resp411,mng,E,central,implementation,0.0,0.0,0.0,8.0,8.0,2.0,9.0,4.75,4.0,64.0,2.885518394057064,-0.9515360833172548,-1.7851012271185929,660.1120601008688,-0.5894913775946455,0.0,-0.8479547481484687,3,1,0,0,0,0,0,1,0,1.55814461804655,0,0.0
resp413,network,TL,central,business_mng,0.6716977474031237,0.0016797142355584225,1.0,19.0,20.0,28.0,24.0,4.4,10.0,400.0,4.851405482411641,0.22206355058495866,0.3598066306609053,442.3376947122704,-0.567077310717666,2129.0,0.8299200060670089,3,0,0,1,0,1,0,0,0,1.4816045409242156,1,0.0
resp415,logistics,MM,country-wide,implementation,0.0,0.0,0.0,20.0,20.0,58.0,33.0,4.117647058823529,18.0,400.0,4.851405482411641,0.6563510678775492,1.1766808504338375,312.6621762166181,-0.5894913775946455,0.0,-0.8479547481484687,3,0,1,0,0,0,0,1,0,1.4152818979931427,1,20.0
resp426,network,MM,west,implementation,0.8404056307421601,6.311749123751703e-06,7.0,4.0,11.0,16.0,19.0,5.0,3.0,121.0,3.5085091882226056,-0.07989802678213727,-0.2052663882677371,863.2179224407075,-0.5894072145081032,8.0,-0.3669100409431548,3,0,1,0,0,0,0,1,0,1.6094379124341003,1,11.0
resp460,control,TL,country-wide,corp_gov,0.7980580247140132,0.004819020455984426,7.0,5.0,12.0,18.0,17.0,4.333333333333333,7.0,144.0,3.68932492804488,-0.21874405163849006,-0.09089510070799384,408.38525237872636,-0.5252869169856977,6108.0,1.0605967031842571,3,0,0,1,0,0,1,0,0,1.466337068793427,1,0.0
resp466,network,MM,central,implementation,0.6894104314095904,0.033019521056586815,5.0,11.0,16.0,26.0,19.0,4.571428571428571,7.0,256.0,4.321839547389929,-0.07989802678213727,0.2818390689600669,540.229117332249,-0.15563169284782166,41851.5,1.4819085935912508,3,0,1,0,0,0,0,1,0,1.519825753744413,1,16.0
resp469,business,MM,country-wide,business_mng,0.7381506654489949,0.028517271509750662,5.0,12.0,17.0,27.0,29.0,4.2222222222222205,18.0,289.0,4.462229901248142,0.4769717970673881,0.3214259069560076,356.4980562110585,-0.21396560710725496,36145.0,1.4498162824942185,3,0,1,0,0,1,0,0,0,1.440361582390166,1,17.0
resp473,network,MM,east,implementation,0.8595307968971648,0.1152785749648416,12.0,7.0,19.0,34.0,17.0,3.0,3.0,361.0,4.726523633470892,-0.21874405163849006,0.5685878646685171,59.54939873045311,0.8676217448288659,146113.0,1.7556263117461948,3,0,1,0,0,0,0,1,0,1.0986122886681098,1,19.0
resp474,network,MM,west,implementation,0.7601962541216821,0.001642632709456381,2.0,9.0,11.0,39.0,32.0,5.0,5.0,121.0,3.5085091882226056,0.6132377959669686,0.7200630449734237,863.2179224407075,-0.5675716833195104,2082.0,0.8250350008336734,3,0,1,0,0,0,0,1,0,1.6094379124341003,1,11.0
resp484,business,E,country-wide,business_mng,0.7577013879830744,0.015883516669921164,11.0,2.0,13.0,1.0,0.0,3.2,5.0,169.0,3.859873340080033,-3.2380549763388036,-2.1044134033594597,83.52686792074542,-0.3790302895252982,20132.0,1.3216954266588865,3,1,0,0,0,1,0,0,0,1.1631508098056809,0,0.0
